strategy,rule_set,windows,pass_%,fail_daily_%,fail_total_%,fail_target_%,median_days_to_pass,median_max_dd_%,leverage
1h_BuyAndHold,Apex-style strict,340,35.3,60.0,4.1,0.6,3,-1.16,2
4h_BuyAndHold,Apex-style strict,340,39.1,53.8,5.9,1.2,4,-1.1,2
4h_DualMom_30_90,Apex-style strict,340,44.4,42.9,7.9,4.7,4,-0.46,3
4h_Supertrend_LO,Apex-style strict,340,37.6,50.3,12.1,0.0,3,-0.62,3
4h_EMA200_filter,Apex-style strict,340,36.8,47.6,9.4,6.2,3,-0.3,3
4h_Weekend,Apex-style strict,340,36.8,58.8,4.4,0.0,3,-0.2,3
4h_Turtle_LO,Apex-style strict,340,39.1,48.2,12.1,0.6,3,-0.77,3
1h_OR_Breakout_LO,Apex-style strict,340,36.8,58.5,4.1,0.6,3,-1.54,3
1h_OR_Breakout_LS,Apex-style strict,340,34.4,62.4,3.2,0.0,2,-1.37,3
1h_VolFilt_Donchian,Apex-style strict,340,39.1,57.6,3.2,0.0,2,-1.34,3
1h_VolFilt_Donchian_LO,Apex-style strict,340,35.3,58.8,4.1,1.8,4,-1.47,3
1h_Session_US,Apex-style strict,340,36.2,61.8,2.1,0.0,2,-1.36,3
1h_Weekend,Apex-style strict,340,37.9,60.6,1.5,0.0,3,-1.3,3
1h_BuyAndHold,Apex-style strict,340,35.3,60.3,3.8,0.6,3,-1.19,3
4h_BuyAndHold,Apex-style strict,340,38.5,54.4,5.9,1.2,4,-1.12,3
4h_DualMom_30_90,Apex-style strict,340,47.1,37.1,12.4,3.5,3,0.0,5
4h_Supertrend_LO,Apex-style strict,340,38.2,50.9,10.9,0.0,2,0.0,5
4h_EMA200_filter,Apex-style strict,340,37.9,45.3,10.9,5.9,3,0.0,5
4h_Weekend,Apex-style strict,340,38.8,56.5,4.7,0.0,2,0.0,5
4h_Turtle_LO,Apex-style strict,340,36.8,52.1,11.2,0.0,3,0.0,5
1h_OR_Breakout_LO,Apex-style strict,340,32.9,64.4,2.6,0.0,2,-1.27,5
1h_OR_Breakout_LS,Apex-style strict,340,35.0,65.0,0.0,0.0,1,-1.13,5
1h_VolFilt_Donchian,Apex-style strict,340,36.8,61.2,2.1,0.0,2,-0.59,5
1h_VolFilt_Donchian_LO,Apex-style strict,340,36.8,60.0,2.6,0.6,3,-0.94,5
1h_Session_US,Apex-style strict,340,37.9,61.2,0.9,0.0,1,-1.08,5
1h_Weekend,Apex-style strict,340,30.9,68.5,0.6,0.0,2,-0.86,5
1h_BuyAndHold,Apex-style strict,340,36.5,59.1,4.1,0.3,3,-1.18,5
4h_BuyAndHold,Apex-style strict,340,39.4,53.5,5.9,1.2,4,-1.1,5
4h_DualMom_30_90,BFG-style lenient,340,37.6,24.7,4.4,24.1,12,-3.96,1
4h_Supertrend_LO,BFG-style lenient,340,36.5,26.8,15.0,20.6,11,-4.69,1
4h_EMA200_filter,BFG-style lenient,340,37.9,24.4,13.2,12.1,10,-4.09,1
4h_Weekend,BFG-style lenient,340,33.5,37.1,10.3,19.1,12,-4.54,1
4h_Turtle_LO,BFG-style lenient,340,36.8,26.2,7.4,28.8,10,-4.51,1
1h_OR_Breakout_LO,BFG-style lenient,340,30.9,18.2,16.2,34.7,13,-5.6,1
1h_OR_Breakout_LS,BFG-style lenient,340,32.9,39.7,15.6,11.8,10,-6.38,1
1h_VolFilt_Donchian,BFG-style lenient,340,34.1,33.2,18.2,14.4,14,-6.2,1
1h_VolFilt_Donchian_LO,BFG-style lenient,340,34.4,25.6,11.8,26.5,14,-5.4,1
1h_Session_US,BFG-style lenient,340,41.2,36.8,12.6,9.4,8,-5.58,1
1h_Weekend,BFG-style lenient,340,33.2,41.2,8.8,16.8,13,-5.16,1
1h_BuyAndHold,BFG-style lenient,340,35.3,48.8,10.3,5.6,7,-5.29,1
4h_BuyAndHold,BFG-style lenient,340,39.1,38.5,14.1,8.2,8,-5.0,1
4h_DualMom_30_90,BFG-style lenient,340,35.6,40.9,9.1,6.8,10,-4.98,2
4h_Supertrend_LO,BFG-style lenient,340,33.2,50.3,10.9,4.7,9,-5.12,2
4h_EMA200_filter,BFG-style lenient,340,32.6,45.0,8.2,3.8,7,-4.79,2
4h_Weekend,BFG-style lenient,340,32.4,54.1,12.1,1.5,10,-4.61,2
4h_Turtle_LO,BFG-style lenient,340,33.2,46.5,12.1,7.9,9,-5.36,2
1h_OR_Breakout_LO,BFG-style lenient,340,40.6,35.9,17.6,5.9,10,-5.53,2
1h_OR_Breakout_LS,BFG-style lenient,340,27.1,56.8,15.3,0.9,8,-6.14,2
1h_VolFilt_Donchian,BFG-style lenient,340,22.9,49.7,24.7,2.6,9,-6.88,2
1h_VolFilt_Donchian_LO,BFG-style lenient,340,23.2,50.3,18.8,5.9,12,-5.91,2
1h_Session_US,BFG-style lenient,340,27.4,56.2,16.5,0.0,6,-6.03,2
1h_Weekend,BFG-style lenient,340,27.4,63.2,8.5,0.9,9,-5.32,2
1h_BuyAndHold,BFG-style lenient,340,31.8,56.2,10.3,1.8,7,-5.44,2
4h_BuyAndHold,BFG-style lenient,340,35.0,49.4,12.1,3.5,7,-5.04,2
4h_DualMom_30_90,BFG-style lenient,340,26.2,52.1,14.1,0.3,9,-4.6,3
4h_Supertrend_LO,BFG-style lenient,340,21.2,62.4,14.7,1.5,7,-5.06,3
4h_EMA200_filter,BFG-style lenient,340,29.1,52.1,7.9,1.5,7,-4.55,3
4h_Weekend,BFG-style lenient,340,23.5,67.1,9.4,0.0,9,-4.38,3
4h_Turtle_LO,BFG-style lenient,340,20.6,62.1,15.6,1.5,7,-5.44,3
1h_OR_Breakout_LO,BFG-style lenient,340,29.1,51.8,17.4,1.8,10,-5.72,3
1h_OR_Breakout_LS,BFG-style lenient,340,19.1,64.4,16.2,0.3,7,-5.81,3
1h_VolFilt_Donchian,BFG-style lenient,340,15.0,56.5,27.9,0.6,9,-6.3,3
1h_VolFilt_Donchian_LO,BFG-style lenient,340,17.6,59.7,18.5,2.4,13,-6.1,3
1h_Session_US,BFG-style lenient,340,15.6,68.2,16.2,0.0,6,-5.97,3
1h_Weekend,BFG-style lenient,340,17.1,70.0,12.9,0.0,8,-5.2,3
1h_BuyAndHold,BFG-style lenient,340,32.1,55.6,10.3,2.1,7,-5.32,3
4h_BuyAndHold,BFG-style lenient,340,37.4,45.3,12.9,4.4,7,-4.9,3
4h_DualMom_30_90,BFG-style lenient,340,13.2,64.1,17.4,0.3,8,-5.34,5
4h_Supertrend_LO,BFG-style lenient,340,14.1,70.9,15.0,0.0,6,-4.84,5
4h_EMA200_filter,BFG-style lenient,340,16.5,61.8,14.7,0.3,6,-4.96,5
4h_Weekend,BFG-style lenient,340,12.4,74.4,13.2,0.0,9,-4.34,5
4h_Turtle_LO,BFG-style lenient,340,10.3,69.7,20.0,0.0,6,-4.73,5
1h_OR_Breakout_LO,BFG-style lenient,340,17.9,65.0,17.1,0.0,8,-5.98,5
1h_OR_Breakout_LS,BFG-style lenient,340,8.8,72.9,18.2,0.0,6,-5.89,5
1h_VolFilt_Donchian,BFG-style lenient,340,3.5,71.5,25.0,0.0,6,-6.27,5
1h_VolFilt_Donchian_LO,BFG-style lenient,340,7.1,69.1,22.4,0.3,12,-6.94,5
1h_Session_US,BFG-style lenient,340,5.0,74.7,20.3,0.0,6,-6.36,5
1h_Weekend,BFG-style lenient,340,9.4,74.1,16.5,0.0,8,-5.59,5
1h_BuyAndHold,BFG-style lenient,340,30.3,58.2,10.0,1.5,6,-5.43,5
4h_BuyAndHold,BFG-style lenient,340,35.9,47.9,12.6,3.5,7,-4.97,5
